sep=,
Name,8,16,32,48,64
,05,05,05,05,05
copy,17314.9,33706.4,51600.3,62928.1,64242.6
scale,17644.5,32834.7,47959.2,59578.0,61059.4
add,15861.0,29974.1,46283.9,58667.2,60803.0
triad,15057.1,27631.5,43468.4,57553.0,62223.0
cycles,148052839914,163973374606,223577135487,274383375643,359166768165
instructions,72498097328,73846602800,77092981137,80662185082,85883112112
cache-misses,13381453,13357174,13774410,14646327,17392340
cache-references,23363881575,23478932327,23829920237,25154865966,26735371531
faults,1467,1484,1518,1553,1588
migrations,8,15,33,47,64
time,7.980019100,4.810234011,3.571590964,3.133089468,3.163058252
,1,1,1,1,1
copy,17432.7,34142.2,53128.7,67265.9,69902.9
scale,17172.6,33167.0,50885.6,63600.2,66739.7
add,16179.6,30571.4,48751.4,62294.1,67882.3
triad,14806.2,28937.6,45474.9,59009.4,68480.9
cycles,290745330238,307946447274,412187142440,487287886176,585784027496
instructions,144071207347,144987102449,151390398535,153475012887,157452237666
cache-misses,26302177,26282664,26081860,28636255,32923992
cache-references,46191246666,45923742009,47056804817,48149657241,49222389292
faults,2217,2234,2268,2303,2338
migrations,7,15,34,48,63
time,15.909253196,9.500888538,7.053566737,6.201837715,5.776575547
,2,2,2,2,2
copy,17173.7,33922.9,53404.8,68654.6,73392.5
scale,17285.3,34015.4,51889.1,65482.9,71077.8
add,16124.6,30622.2,48770.6,64136.4,72219.3
triad,14599.0,29043.6,45637.6,60057.6,71651.8
cycles,587819171081,599356244840,774489206563,890564086023,1051969558393
instructions,288539124327,287893371205,295465127416,296220117122,300464437450
cache-misses,52425610,51752760,50347173,55530414,64085423
cache-references,91046061515,92536051808,92187896495,93253684072,94672674571
faults,3717,3734,3768,3802,3837
migrations,9,15,34,47,63
time,32.516525965,18.912594323,13.951225453,11.976532849,11.214876426
,5,5,5,5,5
copy,17493.5,33897.3,54649.3,65909.3,76125.0
scale,18280.5,32277.0,53754.2,63274.5,74198.7
add,16184.8,30975.8,50715.2,63308.0,74742.6
triad,14846.9,28383.2,47713.0,60416.0,74203.5
cycles,1163865140485,1204280251337,1498302503330,1783482611454,2174187629039
instructions,575745211441,576019937936,581807778751,594096316815,617209937945
cache-misses,103813424,102063442,99349334,111851652,128970677
cache-references,187265838867,181778284758,181282102049,186336437902,193060226272
faults,6717,6734,6768,6801,6837
migrations,8,15,31,48,67
time,64.505613170,38.159846879,27.614435409,24.316701076,23.486695067
,10,10,10,10,10
copy,17176.7,33755.6,53767.8,69544.8,78169.9
scale,17516.9,33111.1,52729.0,66469.2,75098.4
add,15874.4,30954.6,49200.4,65470.2,76502.6
triad,15140.0,28428.2,45667.1,60384.8,75713.8
cycles,2766344849273,2410314405242,2998600016832,3381388206351,3784454572753
instructions,1189688141572,1152920589402,1157221275757,1162330600489,1158028247142
cache-misses,218563565,204609682,198817117,220338739,251691865
cache-references,373873773449,364420001898,361025927668,367421885561,366720272886
faults,12716,12734,12768,12803,12837
migrations,11,16,31,62,64
time,168.093215829,76.654471364,55.709984335,47.518347613,43.396529134
,20,20,20,20,20
copy,14620.1,29188.4,47193.2,59784.1,70195.7
scale,18024.4,34145.1,52210.6,66184.5,75481.9
add,13078.5,25441.3,41257.9,54646.7,67276.7
triad,13142.0,25293.9,41937.6,54751.3,66109.9
cycles,5354792852834,5515664548705,6749966099687,7620562877422,8360783481434
instructions,2284456356190,2288348983688,2310058544444,2312554500735,2311190639265
cache-misses,389202372,391891597,437003581,484805561,502500017
cache-references,786803810982,783876999547,781318512079,788550416719,790818503824
faults,24717,24733,24768,24803,24839
migrations,7,20,32,59,80
time,305.283899233,183.146021851,133.281404182,114.365945527,104.715378920
